sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
140;SDS011;65;48.778;9.160;2022-02-24T00:01:59;6.30;;;3.00;;
140;SDS011;65;48.778;9.160;2022-02-24T00:04:43;6.43;;;2.80;;
140;SDS011;65;48.778;9.160;2022-02-24T00:07:28;4.75;;;2.53;;
140;SDS011;65;48.778;9.160;2022-02-24T00:10:21;6.27;;;2.50;;
140;SDS011;65;48.778;9.160;2022-02-24T00:13:05;6.37;;;2.40;;
140;SDS011;65;48.778;9.160;2022-02-24T00:15:51;4.40;;;2.25;;
140;SDS011;65;48.778;9.160;2022-02-24T00:18:36;5.38;;;2.20;;
140;SDS011;65;48.778;9.160;2022-02-24T00:21:22;4.40;;;2.13;;
140;SDS011;65;48.778;9.160;2022-02-24T00:24:08;7.15;;;2.72;;
140;SDS011;65;48.778;9.160;2022-02-24T00:26:54;4.93;;;2.30;;
140;SDS011;65;48.778;9.160;2022-02-24T00:29:40;4.80;;;2.33;;
140;SDS011;65;48.778;9.160;2022-02-24T00:32:26;4.00;;;1.92;;
140;SDS011;65;48.778;9.160;2022-02-24T00:35:12;6.65;;;2.40;;
140;SDS011;65;48.778;9.160;2022-02-24T00:37:58;3.17;;;2.00;;
140;SDS011;65;48.778;9.160;2022-02-24T00:40:43;5.07;;;2.30;;
140;SDS011;65;48.778;9.160;2022-02-24T00:43:29;7.70;;;2.55;;
140;SDS011;65;48.778;9.160;2022-02-24T00:46:15;5.20;;;2.33;;
140;SDS011;65;48.778;9.160;2022-02-24T00:49:00;5.95;;;2.50;;
140;SDS011;65;48.778;9.160;2022-02-24T00:51:46;4.83;;;2.40;;
140;SDS011;65;48.778;9.160;2022-02-24T00:54:32;3.17;;;1.95;;
140;SDS011;65;48.778;9.160;2022-02-24T00:57:17;6.22;;;2.83;;
140;SDS011;65;48.778;9.160;2022-02-24T01:00:04;4.82;;;2.40;;
140;SDS011;65;48.778;9.160;2022-02-24T01:02:50;6.07;;;2.35;;
140;SDS011;65;48.778;9.160;2022-02-24T01:05:36;4.88;;;1.98;;
140;SDS011;65;48.778;9.160;2022-02-24T01:08:22;5.68;;;2.42;;
140;SDS011;65;48.778;9.160;2022-02-24T01:11:08;5.35;;;2.33;;
140;SDS011;65;48.778;9.160;2022-02-24T01:13:54;6.85;;;2.70;;
140;SDS011;65;48.778;9.160;2022-02-24T01:16:39;4.63;;;2.13;;
140;SDS011;65;48.778;9.160;2022-02-24T01:19:25;6.65;;;2.47;;
140;SDS011;65;48.778;9.160;2022-02-24T01:22:11;3.47;;;2.05;;
140;SDS011;65;48.778;9.160;2022-02-24T01:24:57;4.78;;;1.80;;
