sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
140;SDS011;65;48.778;9.160;2022-06-09T00:01:40;3.22;;;0.93;;
140;SDS011;65;48.778;9.160;2022-06-09T00:06:38;1.77;;;0.95;;
140;SDS011;65;48.778;9.160;2022-06-09T00:09:07;2.92;;;0.90;;
140;SDS011;65;48.778;9.160;2022-06-09T00:11:38;2.20;;;1.00;;
140;SDS011;65;48.778;9.160;2022-06-09T00:14:06;2.00;;;1.00;;
140;SDS011;65;48.778;9.160;2022-06-09T00:16:33;1.17;;;0.98;;
140;SDS011;65;48.778;9.160;2022-06-09T00:19:00;3.15;;;0.90;;
140;SDS011;65;48.778;9.160;2022-06-09T00:21:25;1.75;;;1.00;;
140;SDS011;65;48.778;9.160;2022-06-09T00:23:51;0.82;;;0.82;;
140;SDS011;65;48.778;9.160;2022-06-09T00:26:17;2.95;;;1.17;;
140;SDS011;65;48.778;9.160;2022-06-09T00:28:42;0.90;;;0.80;;
140;SDS011;65;48.778;9.160;2022-06-09T00:31:08;1.40;;;0.98;;
140;SDS011;65;48.778;9.160;2022-06-09T00:33:34;2.90;;;1.00;;
140;SDS011;65;48.778;9.160;2022-06-09T00:35:59;0.73;;;0.73;;
140;SDS011;65;48.778;9.160;2022-06-09T00:38:39;1.77;;;1.10;;
140;SDS011;65;48.778;9.160;2022-06-09T00:41:04;1.52;;;0.88;;
140;SDS011;65;48.778;9.160;2022-06-09T00:43:30;1.15;;;0.95;;
140;SDS011;65;48.778;9.160;2022-06-09T00:50:58;1.73;;;0.90;;
140;SDS011;65;48.778;9.160;2022-06-09T00:53:29;1.42;;;0.95;;
140;SDS011;65;48.778;9.160;2022-06-09T00:56:00;1.83;;;0.90;;
140;SDS011;65;48.778;9.160;2022-06-09T00:58:27;1.88;;;1.02;;
140;SDS011;65;48.778;9.160;2022-06-09T01:00:55;1.60;;;0.65;;
140;SDS011;65;48.778;9.160;2022-06-09T01:03:25;1.77;;;1.00;;
140;SDS011;65;48.778;9.160;2022-06-09T01:05:55;1.98;;;1.10;;
140;SDS011;65;48.778;9.160;2022-06-09T01:08:33;2.40;;;1.02;;
140;SDS011;65;48.778;9.160;2022-06-09T01:11:01;3.00;;;1.35;;
140;SDS011;65;48.778;9.160;2022-06-09T01:13:27;1.75;;;0.82;;
140;SDS011;65;48.778;9.160;2022-06-09T01:16:00;1.27;;;0.80;;
140;SDS011;65;48.778;9.160;2022-06-09T01:27:24;1.02;;;0.90;;
140;SDS011;65;48.778;9.160;2022-06-09T01:30:14;1.60;;;0.93;;
