sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
140;SDS011;65;48.778;9.160;2022-07-19T00:01:03;9.45;;;3.90;;
140;SDS011;65;48.778;9.160;2022-07-19T00:03:49;9.50;;;4.25;;
140;SDS011;65;48.778;9.160;2022-07-19T00:06:35;6.75;;;3.67;;
140;SDS011;65;48.778;9.160;2022-07-19T00:09:22;10.30;;;4.40;;
140;SDS011;65;48.778;9.160;2022-07-19T00:12:08;10.80;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T00:14:54;7.18;;;3.83;;
140;SDS011;65;48.778;9.160;2022-07-19T00:17:43;7.30;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T00:20:31;8.85;;;3.65;;
140;SDS011;65;48.778;9.160;2022-07-19T00:23:17;7.47;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T00:26:02;9.30;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T00:28:48;10.98;;;4.05;;
140;SDS011;65;48.778;9.160;2022-07-19T00:31:34;7.45;;;3.70;;
140;SDS011;65;48.778;9.160;2022-07-19T00:34:20;8.57;;;4.07;;
140;SDS011;65;48.778;9.160;2022-07-19T00:37:05;9.30;;;4.07;;
140;SDS011;65;48.778;9.160;2022-07-19T00:39:51;9.23;;;4.22;;
140;SDS011;65;48.778;9.160;2022-07-19T00:42:37;7.00;;;3.63;;
140;SDS011;65;48.778;9.160;2022-07-19T00:45:24;6.88;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T00:48:09;8.60;;;3.72;;
140;SDS011;65;48.778;9.160;2022-07-19T00:50:55;8.65;;;3.90;;
140;SDS011;65;48.778;9.160;2022-07-19T00:53:41;7.03;;;3.67;;
140;SDS011;65;48.778;9.160;2022-07-19T00:56:28;7.70;;;4.07;;
140;SDS011;65;48.778;9.160;2022-07-19T00:59:17;10.50;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T01:02:03;11.93;;;4.05;;
140;SDS011;65;48.778;9.160;2022-07-19T01:04:49;7.43;;;3.83;;
140;SDS011;65;48.778;9.160;2022-07-19T01:07:35;9.25;;;3.80;;
140;SDS011;65;48.778;9.160;2022-07-19T01:10:22;10.98;;;3.72;;
140;SDS011;65;48.778;9.160;2022-07-19T01:13:08;10.63;;;3.75;;
140;SDS011;65;48.778;9.160;2022-07-19T01:15:54;9.82;;;4.18;;
140;SDS011;65;48.778;9.160;2022-07-19T01:18:40;8.45;;;3.92;;
140;SDS011;65;48.778;9.160;2022-07-19T01:21:26;8.73;;;3.88;;
140;SDS011;65;48.778;9.160;2022-07-19T01:24:11;8.13;;;4.03;;
140;SDS011;65;48.778;9.160;2022-07-19T01:26:57;8.05;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T01:29:43;8.07;;;3.83;;
140;SDS011;65;48.778;9.160;2022-07-19T01:32:29;6.38;;;3.80;;
140;SDS011;65;48.778;9.160;2022-07-19T01:35:14;5.93;;;3.28;;
140;SDS011;65;48.778;9.160;2022-07-19T01:38:00;8.13;;;3.88;;
140;SDS011;65;48.778;9.160;2022-07-19T01:40:46;7.90;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T01:43:32;10.55;;;4.22;;
140;SDS011;65;48.778;9.160;2022-07-19T01:46:19;5.65;;;3.30;;
140;SDS011;65;48.778;9.160;2022-07-19T01:49:05;7.57;;;3.50;;
140;SDS011;65;48.778;9.160;2022-07-19T01:51:51;7.15;;;4.22;;
140;SDS011;65;48.778;9.160;2022-07-19T01:54:36;10.07;;;4.03;;
140;SDS011;65;48.778;9.160;2022-07-19T01:57:22;8.25;;;3.95;;
140;SDS011;65;48.778;9.160;2022-07-19T02:00:08;6.40;;;3.80;;
140;SDS011;65;48.778;9.160;2022-07-19T02:02:54;7.20;;;3.80;;
140;SDS011;65;48.778;9.160;2022-07-19T02:05:40;7.03;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T02:08:26;7.93;;;3.80;;
140;SDS011;65;48.778;9.160;2022-07-19T02:11:12;6.80;;;3.65;;
140;SDS011;65;48.778;9.160;2022-07-19T02:14:16;8.10;;;3.35;;
140;SDS011;65;48.778;9.160;2022-07-19T02:17:02;9.95;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T02:19:47;9.75;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T02:22:33;9.77;;;3.88;;
140;SDS011;65;48.778;9.160;2022-07-19T02:25:19;9.70;;;4.38;;
140;SDS011;65;48.778;9.160;2022-07-19T02:28:05;7.68;;;3.95;;
140;SDS011;65;48.778;9.160;2022-07-19T02:30:50;7.38;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T02:33:36;7.95;;;3.90;;
140;SDS011;65;48.778;9.160;2022-07-19T02:36:22;7.43;;;3.97;;
140;SDS011;65;48.778;9.160;2022-07-19T02:39:08;7.38;;;3.83;;
140;SDS011;65;48.778;9.160;2022-07-19T02:41:54;9.05;;;3.88;;
140;SDS011;65;48.778;9.160;2022-07-19T02:44:40;6.85;;;3.97;;
140;SDS011;65;48.778;9.160;2022-07-19T02:47:26;10.00;;;3.72;;
140;SDS011;65;48.778;9.160;2022-07-19T02:50:12;8.65;;;4.03;;
140;SDS011;65;48.778;9.160;2022-07-19T02:52:58;7.15;;;3.40;;
140;SDS011;65;48.778;9.160;2022-07-19T02:55:43;8.57;;;4.20;;
140;SDS011;65;48.778;9.160;2022-07-19T02:58:29;7.97;;;3.75;;
140;SDS011;65;48.778;9.160;2022-07-19T03:01:15;9.27;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T03:04:01;9.65;;;3.60;;
140;SDS011;65;48.778;9.160;2022-07-19T03:06:47;7.68;;;3.85;;
140;SDS011;65;48.778;9.160;2022-07-19T03:09:33;8.10;;;4.55;;
140;SDS011;65;48.778;9.160;2022-07-19T03:12:18;8.02;;;3.85;;
140;SDS011;65;48.778;9.160;2022-07-19T03:15:22;5.97;;;3.50;;
140;SDS011;65;48.778;9.160;2022-07-19T03:18:15;7.28;;;3.90;;
140;SDS011;65;48.778;9.160;2022-07-19T03:21:01;7.57;;;3.83;;
140;SDS011;65;48.778;9.160;2022-07-19T03:23:47;7.63;;;4.13;;
140;SDS011;65;48.778;9.160;2022-07-19T03:26:33;10.80;;;3.70;;
140;SDS011;65;48.778;9.160;2022-07-19T03:29:19;7.35;;;3.65;;
140;SDS011;65;48.778;9.160;2022-07-19T03:32:05;7.30;;;4.00;;
140;SDS011;65;48.778;9.160;2022-07-19T03:34:51;8.30;;;3.75;;
140;SDS011;65;48.778;9.160;2022-07-19T03:37:36;11.23;;;4.13;;
140;SDS011;65;48.778;9.160;2022-07-19T03:40:23;7.40;;;3.95;;
140;SDS011;65;48.778;9.160;2022-07-19T03:43:09;7.70;;;3.58;;
140;SDS011;65;48.778;9.160;2022-07-19T03:45:54;9.48;;;4.38;;
140;SDS011;65;48.778;9.160;2022-07-19T03:48:40;7.72;;;3.60;;
140;SDS011;65;48.778;9.160;2022-07-19T03:51:26;10.45;;;3.85;;
140;SDS011;65;48.778;9.160;2022-07-19T03:54:12;7.00;;;3.90;;
140;SDS011;65;48.778;9.160;2022-07-19T03:56:57;8.23;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T03:59:43;9.45;;;4.05;;
140;SDS011;65;48.778;9.160;2022-07-19T04:02:29;8.23;;;3.65;;
140;SDS011;65;48.778;9.160;2022-07-19T04:05:14;7.82;;;3.88;;
140;SDS011;65;48.778;9.160;2022-07-19T04:08:00;10.68;;;4.20;;
140;SDS011;65;48.778;9.160;2022-07-19T04:10:46;8.70;;;4.20;;
140;SDS011;65;48.778;9.160;2022-07-19T04:13:33;8.93;;;3.92;;
140;SDS011;65;48.778;9.160;2022-07-19T04:16:19;11.75;;;4.30;;
140;SDS011;65;48.778;9.160;2022-07-19T04:19:05;7.95;;;4.07;;
140;SDS011;65;48.778;9.160;2022-07-19T04:21:50;9.10;;;4.07;;
140;SDS011;65;48.778;9.160;2022-07-19T04:24:36;8.88;;;3.85;;
140;SDS011;65;48.778;9.160;2022-07-19T04:27:22;7.55;;;4.10;;
140;SDS011;65;48.778;9.160;2022-07-19T04:30:08;11.25;;;3.97;;
