sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
140;SDS011;65;48.778;9.160;2022-08-23T00:01:33;10.93;;;3.88;;
140;SDS011;65;48.778;9.160;2022-08-23T00:04:02;8.55;;;3.55;;
140;SDS011;65;48.778;9.160;2022-08-23T00:06:31;8.65;;;4.32;;
140;SDS011;65;48.778;9.160;2022-08-23T00:08:57;8.85;;;3.92;;
140;SDS011;65;48.778;9.160;2022-08-23T00:11:32;11.27;;;3.90;;
140;SDS011;65;48.778;9.160;2022-08-23T00:14:05;7.45;;;3.85;;
140;SDS011;65;48.778;9.160;2022-08-23T00:16:39;9.48;;;2.90;;
140;SDS011;65;48.778;9.160;2022-08-23T00:19:06;6.53;;;3.30;;
140;SDS011;65;48.778;9.160;2022-08-23T00:21:34;7.28;;;2.83;;
140;SDS011;65;48.778;9.160;2022-08-23T00:24:02;7.35;;;3.15;;
140;SDS011;65;48.778;9.160;2022-08-23T00:26:46;7.35;;;3.08;;
140;SDS011;65;48.778;9.160;2022-08-23T00:29:17;9.23;;;3.17;;
140;SDS011;65;48.778;9.160;2022-08-23T00:31:43;7.43;;;3.40;;
140;SDS011;65;48.778;9.160;2022-08-23T00:34:09;5.63;;;2.80;;
140;SDS011;65;48.778;9.160;2022-08-23T00:36:36;6.40;;;2.90;;
140;SDS011;65;48.778;9.160;2022-08-23T00:39:02;7.03;;;2.95;;
140;SDS011;65;48.778;9.160;2022-08-23T00:41:28;6.75;;;3.28;;
140;SDS011;65;48.778;9.160;2022-08-23T00:43:54;9.65;;;3.80;;
140;SDS011;65;48.778;9.160;2022-08-23T00:46:43;7.35;;;3.28;;
140;SDS011;65;48.778;9.160;2022-08-23T00:49:30;7.50;;;3.38;;
140;SDS011;65;48.778;9.160;2022-08-23T00:54:26;6.30;;;3.15;;
140;SDS011;65;48.778;9.160;2022-08-23T00:56:54;7.85;;;3.58;;
140;SDS011;65;48.778;9.160;2022-08-23T00:59:22;8.75;;;3.72;;
140;SDS011;65;48.778;9.160;2022-08-23T01:01:48;7.95;;;3.53;;
140;SDS011;65;48.778;9.160;2022-08-23T01:04:14;7.00;;;3.53;;
140;SDS011;65;48.778;9.160;2022-08-23T01:06:49;9.52;;;3.65;;
