sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
140;SDS011;65;48.778;9.160;2022-04-12T00:01:46;11.00;;;6.35;;
140;SDS011;65;48.778;9.160;2022-04-12T00:04:12;10.50;;;6.13;;
140;SDS011;65;48.778;9.160;2022-04-12T00:06:37;9.13;;;6.07;;
140;SDS011;65;48.778;9.160;2022-04-12T00:09:03;11.15;;;5.72;;
140;SDS011;65;48.778;9.160;2022-04-12T00:11:28;11.80;;;6.43;;
140;SDS011;65;48.778;9.160;2022-04-12T00:13:54;10.80;;;6.70;;
140;SDS011;65;48.778;9.160;2022-04-12T00:16:19;11.37;;;6.53;;
140;SDS011;65;48.778;9.160;2022-04-12T00:18:45;10.93;;;6.60;;
140;SDS011;65;48.778;9.160;2022-04-12T00:21:30;11.75;;;6.15;;
140;SDS011;65;48.778;9.160;2022-04-12T00:23:59;10.65;;;6.50;;
140;SDS011;65;48.778;9.160;2022-04-12T00:26:34;10.27;;;6.10;;
140;SDS011;65;48.778;9.160;2022-04-12T00:29:00;9.82;;;6.05;;
140;SDS011;65;48.778;9.160;2022-04-12T00:31:26;10.67;;;6.23;;
140;SDS011;65;48.778;9.160;2022-04-12T00:34:04;12.45;;;7.00;;
140;SDS011;65;48.778;9.160;2022-04-12T00:36:30;10.25;;;5.72;;
140;SDS011;65;48.778;9.160;2022-04-12T00:38:56;9.48;;;5.78;;
140;SDS011;65;48.778;9.160;2022-04-12T00:41:24;10.13;;;6.43;;
140;SDS011;65;48.778;9.160;2022-04-12T00:43:49;9.35;;;5.90;;
140;SDS011;65;48.778;9.160;2022-04-12T00:46:15;11.80;;;6.87;;
140;SDS011;65;48.778;9.160;2022-04-12T00:48:41;9.10;;;5.90;;
140;SDS011;65;48.778;9.160;2022-04-12T00:51:06;10.82;;;6.57;;
140;SDS011;65;48.778;9.160;2022-04-12T00:53:32;11.77;;;6.80;;
140;SDS011;65;48.778;9.160;2022-04-12T00:55:58;10.90;;;6.83;;
140;SDS011;65;48.778;9.160;2022-04-12T00:58:23;10.35;;;6.15;;
140;SDS011;65;48.778;9.160;2022-04-12T01:00:50;10.93;;;7.00;;
140;SDS011;65;48.778;9.160;2022-04-12T01:03:15;11.30;;;6.75;;
140;SDS011;65;48.778;9.160;2022-04-12T01:05:41;9.02;;;5.72;;
140;SDS011;65;48.778;9.160;2022-04-12T01:08:07;10.97;;;6.33;;
140;SDS011;65;48.778;9.160;2022-04-12T01:10:32;9.20;;;5.93;;
140;SDS011;65;48.778;9.160;2022-04-12T01:12:59;12.30;;;6.93;;
140;SDS011;65;48.778;9.160;2022-04-12T01:15:25;9.90;;;6.45;;
140;SDS011;65;48.778;9.160;2022-04-12T01:17:51;10.43;;;5.93;;
140;SDS011;65;48.778;9.160;2022-04-12T01:20:18;12.02;;;7.40;;
140;SDS011;65;48.778;9.160;2022-04-12T01:23:31;10.48;;;6.50;;
140;SDS011;65;48.778;9.160;2022-04-12T01:30:00;10.60;;;6.50;;
140;SDS011;65;48.778;9.160;2022-04-12T01:32:26;11.43;;;6.35;;
140;SDS011;65;48.778;9.160;2022-04-12T01:34:51;10.23;;;6.38;;
140;SDS011;65;48.778;9.160;2022-04-12T01:37:17;10.80;;;6.60;;
140;SDS011;65;48.778;9.160;2022-04-12T01:39:42;9.97;;;6.40;;
140;SDS011;65;48.778;9.160;2022-04-12T01:42:08;10.05;;;6.30;;
